LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
AUS;SIGI;RESTRCIVLIB;IDX;A;2019;23.6;
AUT;SIGI;RESTRCIVLIB;IDX;A;2019;12.1;
BEL;SIGI;RESTRCIVLIB;IDX;A;2019;10.3;
CAN;SIGI;RESTRCIVLIB;IDX;A;2019;23.5;
CZE;SIGI;RESTRCIVLIB;IDX;A;2019;26.3;
DNK;SIGI;RESTRCIVLIB;IDX;A;2019;11;
FIN;SIGI;RESTRCIVLIB;IDX;A;2019;18.3;
FRA;SIGI;RESTRCIVLIB;IDX;A;2019;5.3;
DEU;SIGI;RESTRCIVLIB;IDX;A;2019;14.3;
GRC;SIGI;RESTRCIVLIB;IDX;A;2019;16.6;
HUN;SIGI;RESTRCIVLIB;IDX;A;2019;27.6;
ISL;SIGI;RESTRCIVLIB;IDX;A;2019;17.4;
IRL;SIGI;RESTRCIVLIB;IDX;A;2019;11.8;
ITA;SIGI;RESTRCIVLIB;IDX;A;2019;8.9;
JPN;SIGI;RESTRCIVLIB;IDX;A;2019;24.8;
KOR;SIGI;RESTRCIVLIB;IDX;A;2019;20.4;
LUX;SIGI;RESTRCIVLIB;IDX;A;2019;8.1;
MEX;SIGI;RESTRCIVLIB;IDX;A;2019;14.6;
NLD;SIGI;RESTRCIVLIB;IDX;A;2019;21.1;
NZL;SIGI;RESTRCIVLIB;IDX;A;2019;22;
NOR;SIGI;RESTRCIVLIB;IDX;A;2019;19.5;
POL;SIGI;RESTRCIVLIB;IDX;A;2019;12.5;
PRT;SIGI;RESTRCIVLIB;IDX;A;2019;11.4;
SVK;SIGI;RESTRCIVLIB;IDX;A;2019;24.4;
ESP;SIGI;RESTRCIVLIB;IDX;A;2019;5.8;
SWE;SIGI;RESTRCIVLIB;IDX;A;2019;16.2;
CHE;SIGI;RESTRCIVLIB;IDX;A;2019;6.5;
TUR;SIGI;RESTRCIVLIB;IDX;A;2019;20;
GBR;SIGI;RESTRCIVLIB;IDX;A;2019;6.7;
USA;SIGI;RESTRCIVLIB;IDX;A;2019;22.9;
ALB;SIGI;RESTRCIVLIB;IDX;A;2019;13.4;
DZA;SIGI;RESTRCIVLIB;IDX;A;2019;61.3;
ARG;SIGI;RESTRCIVLIB;IDX;A;2019;7.1;
ARM;SIGI;RESTRCIVLIB;IDX;A;2019;19.4;
AZE;SIGI;RESTRCIVLIB;IDX;A;2019;21.4;
BGD;SIGI;RESTRCIVLIB;IDX;A;2019;47.5;
BLR;SIGI;RESTRCIVLIB;IDX;A;2019;20.5;
BIH;SIGI;RESTRCIVLIB;IDX;A;2019;17.1;
BRA;SIGI;RESTRCIVLIB;IDX;A;2019;23.9;
BGR;SIGI;RESTRCIVLIB;IDX;A;2019;20.1;
KHM;SIGI;RESTRCIVLIB;IDX;A;2019;40.9;
CHL;SIGI;RESTRCIVLIB;IDX;A;2019;16.6;
COL;SIGI;RESTRCIVLIB;IDX;A;2019;20.6;
HRV;SIGI;RESTRCIVLIB;IDX;A;2019;17.9;
CYP;SIGI;RESTRCIVLIB;IDX;A;2019;36.7;
EST;SIGI;RESTRCIVLIB;IDX;A;2019;21.5;
ETH;SIGI;RESTRCIVLIB;IDX;A;2019;17.9;
GEO;SIGI;RESTRCIVLIB;IDX;A;2019;18.7;
GHA;SIGI;RESTRCIVLIB;IDX;A;2019;22.7;
HTI;SIGI;RESTRCIVLIB;IDX;A;2019;59.1;
HKG;SIGI;RESTRCIVLIB;IDX;A;2019;26.7;
IND;SIGI;RESTRCIVLIB;IDX;A;2019;21.2;
IDN;SIGI;RESTRCIVLIB;IDX;A;2019;40.4;
IRN;SIGI;RESTRCIVLIB;IDX;A;2019;75.1;
ISR;SIGI;RESTRCIVLIB;IDX;A;2019;38.4;
KAZ;SIGI;RESTRCIVLIB;IDX;A;2019;21.8;
LVA;SIGI;RESTRCIVLIB;IDX;A;2019;27.7;
LTU;SIGI;RESTRCIVLIB;IDX;A;2019;19.7;
MKD;SIGI;RESTRCIVLIB;IDX;A;2019;15.2;
MDA;SIGI;RESTRCIVLIB;IDX;A;2019;11;
MOZ;SIGI;RESTRCIVLIB;IDX;A;2019;32.9;
NGA;SIGI;RESTRCIVLIB;IDX;A;2019;53.9;
PAK;SIGI;RESTRCIVLIB;IDX;A;2019;53.1;
PRY;SIGI;RESTRCIVLIB;IDX;A;2019;29.8;
PER;SIGI;RESTRCIVLIB;IDX;A;2019;12.9;
PHL;SIGI;RESTRCIVLIB;IDX;A;2019;45.1;
ROU;SIGI;RESTRCIVLIB;IDX;A;2019;22.1;
RUS;SIGI;RESTRCIVLIB;IDX;A;2019;31.5;
SGP;SIGI;RESTRCIVLIB;IDX;A;2019;49.2;
SVN;SIGI;RESTRCIVLIB;IDX;A;2019;13.2;
ZAF;SIGI;RESTRCIVLIB;IDX;A;2019;21;
TZA;SIGI;RESTRCIVLIB;IDX;A;2019;35.2;
THA;SIGI;RESTRCIVLIB;IDX;A;2019;56.8;
UKR;SIGI;RESTRCIVLIB;IDX;A;2019;28.7;
URY;SIGI;RESTRCIVLIB;IDX;A;2019;22.8;
VNM;SIGI;RESTRCIVLIB;IDX;A;2019;13.8;
ZMB;SIGI;RESTRCIVLIB;IDX;A;2019;41.8;
SRB;SIGI;RESTRCIVLIB;IDX;A;2019;18;
AFG;SIGI;RESTRCIVLIB;IDX;A;2019;38.1;
BEN;SIGI;RESTRCIVLIB;IDX;A;2019;53.3;
BOL;SIGI;RESTRCIVLIB;IDX;A;2019;12.7;
BWA;SIGI;RESTRCIVLIB;IDX;A;2019;52.4;
BFA;SIGI;RESTRCIVLIB;IDX;A;2019;13.8;
CMR;SIGI;RESTRCIVLIB;IDX;A;2019;45.4;
CAF;SIGI;RESTRCIVLIB;IDX;A;2019;54.2;
TCD;SIGI;RESTRCIVLIB;IDX;A;2019;27.2;
COG;SIGI;RESTRCIVLIB;IDX;A;2019;58.3;
CRI;SIGI;RESTRCIVLIB;IDX;A;2019;10.5;
CIV;SIGI;RESTRCIVLIB;IDX;A;2019;20.4;
COD;SIGI;RESTRCIVLIB;IDX;A;2019;20.7;
DOM;SIGI;RESTRCIVLIB;IDX;A;2019;11.2;
ECU;SIGI;RESTRCIVLIB;IDX;A;2019;15.1;
SLV;SIGI;RESTRCIVLIB;IDX;A;2019;17.8;
GAB;SIGI;RESTRCIVLIB;IDX;A;2019;25.6;
GMB;SIGI;RESTRCIVLIB;IDX;A;2019;48.4;
GTM;SIGI;RESTRCIVLIB;IDX;A;2019;43.4;
GIN;SIGI;RESTRCIVLIB;IDX;A;2019;44.4;
HND;SIGI;RESTRCIVLIB;IDX;A;2019;15.3;
IRQ;SIGI;RESTRCIVLIB;IDX;A;2019;51.5;
JAM;SIGI;RESTRCIVLIB;IDX;A;2019;22.9;
JOR;SIGI;RESTRCIVLIB;IDX;A;2019;63.1;
KEN;SIGI;RESTRCIVLIB;IDX;A;2019;17.2;
KGZ;SIGI;RESTRCIVLIB;IDX;A;2019;18;
LAO;SIGI;RESTRCIVLIB;IDX;A;2019;29;
LBN;SIGI;RESTRCIVLIB;IDX;A;2019;62.1;
LSO;SIGI;RESTRCIVLIB;IDX;A;2019;37.6;
LBR;SIGI;RESTRCIVLIB;IDX;A;2019;52.8;
MDG;SIGI;RESTRCIVLIB;IDX;A;2019;59.4;
MWI;SIGI;RESTRCIVLIB;IDX;A;2019;61.9;
MLI;SIGI;RESTRCIVLIB;IDX;A;2019;28.9;
MRT;SIGI;RESTRCIVLIB;IDX;A;2019;52.2;
MUS;SIGI;RESTRCIVLIB;IDX;A;2019;40.7;
MNG;SIGI;RESTRCIVLIB;IDX;A;2019;22.9;
MAR;SIGI;RESTRCIVLIB;IDX;A;2019;59.3;
MMR;SIGI;RESTRCIVLIB;IDX;A;2019;54.9;
NAM;SIGI;RESTRCIVLIB;IDX;A;2019;35.1;
NPL;SIGI;RESTRCIVLIB;IDX;A;2019;40.2;
NIC;SIGI;RESTRCIVLIB;IDX;A;2019;6.2;
NER;SIGI;RESTRCIVLIB;IDX;A;2019;25.6;
PSE;SIGI;RESTRCIVLIB;IDX;A;2019;59.4;
PAN;SIGI;RESTRCIVLIB;IDX;A;2019;17.8;
RWA;SIGI;RESTRCIVLIB;IDX;A;2019;23.5;
SEN;SIGI;RESTRCIVLIB;IDX;A;2019;3.6;
SLE;SIGI;RESTRCIVLIB;IDX;A;2019;40.9;
LKA;SIGI;RESTRCIVLIB;IDX;A;2019;28.6;
TJK;SIGI;RESTRCIVLIB;IDX;A;2019;25.1;
TGO;SIGI;RESTRCIVLIB;IDX;A;2019;62;
TTO;SIGI;RESTRCIVLIB;IDX;A;2019;28.5;
TUN;SIGI;RESTRCIVLIB;IDX;A;2019;52.8;
UGA;SIGI;RESTRCIVLIB;IDX;A;2019;26.6;
UZB;SIGI;RESTRCIVLIB;IDX;A;2019;23.5;
VEN;SIGI;RESTRCIVLIB;IDX;A;2019;14.6;
YEM;SIGI;RESTRCIVLIB;IDX;A;2019;75.8;
ZWE;SIGI;RESTRCIVLIB;IDX;A;2019;30.9;
MLT;SIGI;RESTRCIVLIB;IDX;A;2019;26.3;
TWN;SIGI;RESTRCIVLIB;IDX;A;2019;15.9;
MNE;SIGI;RESTRCIVLIB;IDX;A;2019;13.7;